Section depth,d1,Clear Cover,lc,a,a/d1,D_l,fyl,rho_l,D_t,s,fyt,rho_tv,rho_t,s/d1,f'c,Axial load(P),Axial load ratio,Vp1/Vo1,ln/h,rholfyl/fc,rhotfyt/fc,theta_y,theta_c,theta_u,V_y,V_c,V_u,theta_E,V_E,a,b,c
18,15.62598425,1.5,116,58,3.711766188,1,47995,0.019392547,0.374015748,18,57985.5,0.001627668,0.000678195,1.151927438,3697.5,339.8976,0.283723236,1.207435746,6.444444444,0.251722865,0.010635693,0.006711128,0.02052681,0.019141379,220.46,298.9866526,239.1893221,0.02,236.666481,0.012430251,0.013288872,236.666481
18,15.625,1.5,116,58,3.71,1,48000,0.0194,0.375,18,58000,0.00159,0.00068,1.152,4800,113,0.07,1.300484478,6.444444444,0.194,0.008216667,0.006924301,0.021728103,0.036760326,159.6,228.9897774,183.191822,0.072,88.964,0.029836025,0.065075699,88.964
18,15.5,1.5,116,58,3.74,1.25,48000,0.0303,0.375,12,58000,0.00407,0.00174,0.774193548,3698,340,0.28,1.051571679,6.444444444,0.393293672,0.027290427,0.010809758,0.025115431,0.0338,259.6,361.9838403,289.5870723,0.0178,147.23542,0.022990242,0.006990242,147.23542
10,8.923228346,0.51,40,20,2.241341275,0.625984252,73950,0.024621056,0.251968504,2.007874016,65105,0.016,0.007450187,0.225016545,12470,120.0432,0.096265597,0.720463073,4,0.146008588,0.038896907,0.016605652,0.0428645,0.128055,208.1,267.5574952,214.0459962,0.122654,242.0270958,0.111449348,0.106048348,242.0270958
10,8.923228346,0.51,40,20,2.241341275,0.625984252,73950,0.024621056,0.251968504,2.007874016,65105,0.016,0.007450187,0.225016545,12470,240.0864,0.192531195,0.765313849,4,0.146008588,0.038896907,0.010940904,0.034612,0.07445,238.99,324.1112873,259.2890298,0.08405,81.02782181,0.063509096,0.073109096,81.02782181
15.748,13.051,1.97,94.488,94.488,7.239904988,0.748031496,46835,0.014176494,0.354330709,7.834645669,37468,0.006089375,0.001598427,0.600309989,4457.3,0,0,0.476428867,6,0.148959257,0.013436354,0.01151538,0.039535497,0.039537296,106.11,128.1128751,102.4903001,0.049564707,108.0032746,0.028021916,0.038049327,108.0032746
15.748,13.051,1.97,94.488,94.488,7.239904988,0.748031496,46835,0.017720617,0.354330709,7.834645669,37468,0.006089375,0.001598427,0.600309989,4116.55,0,0,0.573879275,6,0.20161181,0.014548557,0.008615096,0.024100044,0.032297391,150.3,159.9939697,127.9951757,0.040012541,65.14531242,0.023682295,0.031397445,65.14531242
19.685,17.697,1.38,98.425,98.425,5.56167712,0.511811024,46835,0.021237251,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,4525.45,0,0,0.653263809,5,0.219789557,0.016589404,0.00794494,0.016242062,0.029952201,126.43,152.6367803,122.1094242,0.043942139,74.72922622,0.022007261,0.035997199,74.72922622
19.685,17.697,1.38,98.425,98.425,5.56167712,0.511811024,46835,0.021237251,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,4641.45,0,0,0.650548699,5,0.214296535,0.016174799,0.006332118,0.016147981,0.025462582,109.03,154.2063277,123.3650621,0.035768098,48.21399532,0.019130464,0.02943598,48.21399532
19.685,17.697,1.38,98.425,98.425,5.56167712,0.511811024,46835,0.021237251,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,4612.45,0,0,0.651220393,5,0.215643888,0.016276495,0.005936744,0.027259995,0.030331997,141.63,163.0349371,130.4279497,0.044156007,83.97965845,0.024395253,0.038219263,83.97965845
